time,open,high,low,close,Volume,EMA Curta (21),EMA Longa (55)
1585130400,6500,6591.5,6500,6591.5,0.004,NaN,NaN
1585134000,6591.5,6628.5,6457.5,6511.5,438.873,NaN,NaN
1585137600,6511.5,6588.5,6502,6583.5,529.318,NaN,NaN
1585141200,6583.5,6745.5,6562,6585,449.162,NaN,NaN
1585144800,6585,6640,6516,6590,258.831,NaN,NaN
1585148400,6590,6662,6590,6615,20.693,NaN,NaN
1585152000,6615,6695.5,6601.5,6664.5,23.185,NaN,NaN
1585155600,6664.5,6677.5,6635.5,6650,16.523,NaN,NaN
1585159200,6650,6652.5,6592.5,6652.5,17.288,NaN,NaN
1585162800,6652.5,6671.5,6597.5,6622,10.834,NaN,NaN
1585166400,6622,6638,6573,6590,20.314,6605.045454545455,NaN
1585170000,6590,6602,6556,6588,9.025,6602.204545454546,NaN
1585173600,6588,6692.5,6588,6681,12.434,6615.337121212122,NaN
1585177200,6681,6698.5,6650,6698.5,3.036,6629.197601010102,NaN
1585180800,6698.5,6767,6698.5,6738.5,27.19,6647.414667508418,NaN
1585184400,6738.5,6738.5,6675,6688,80.82,6654.178889590348,NaN
1585188000,6688,6698,6655,6694,3.376,6660.81574132529,NaN
1585191600,6694,6742,6667.5,6726.5,258.723,6671.7631177710755,NaN
1585195200,6726.5,6751,6678.5,6692,191.123,6675.1359314758965,NaN
1585198800,6692,6708.5,6613.5,6625,185.905,6666.779942896581,NaN
1585202400,6625,6666,6585,6636,160.821,6661.649952413817,NaN
1585206000,6636,6636,6555,6582,206.572,6648.374960344848,NaN
1585209600,6582,6623.5,6566,6610.5,153.397,6642.062466954039,NaN
1585213200,6610.5,6641.5,6600,6616.5,155.435,6637.802055795033,NaN
1585216800,6616.5,6638.5,6585.5,6616,174.321,6634.168379829194,NaN
1585220400,6616,6665,6590,6598.5,156.592,6628.223649857662,NaN
1585224000,6598.5,6631,6571.5,6620.5,138.187,6626.936374881385,NaN
1585227600,6620.5,6675.5,6512,6626.5,218.401,6626.863645734487,NaN
1585231200,6626.5,6631.5,6582,6591.5,149.487,6620.9697047787395,NaN
1585234800,6591.5,6615.5,6562.5,6611,185.016,6619.308087315616,NaN
1585238400,6611,6657.5,6594,6634.5,175.766,6621.840072763013,NaN
1585242000,6634.5,6675,6608,6630.5,364.416,6623.283393969177,NaN
1585245600,6630.5,6651.5,6626,6629.5,98.013,6624.319494974315,NaN
1585249200,6629.5,6667,6629.5,6656,148.357,6629.599579145262,NaN
1585252800,6656,6733,6655,6719,203.907,6644.499649287719,NaN
1585256400,6719,6749,6692,6713.5,151.709,6655.999707739766,NaN
1585260000,6713.5,6716,6670.5,6699,154.315,6663.166423116471,NaN
1585263600,6699,6760,6698.5,6733.5,163.115,6674.888685930393,NaN
1585267200,6733.5,6838,6733.5,6808.5,218.237,6697.1572382753275,NaN
1585270800,6808.5,6821.5,6757.5,6799.5,177.156,6714.21436522944,NaN
1585274400,6799.5,6799.5,6756.5,6789.5,132.445,6726.7619710245335,NaN
1585278000,6789.5,6799.5,6776.5,6789.5,137.205,6737.218309187111,NaN
1585281600,6789.5,6821.5,6732.5,6738,220.748,6737.348590989259,NaN
1585285200,6738,6740,6616.5,6653,372.592,6723.290492491049,NaN
1585288800,6653,6693.5,6638,6673.5,205.998,6714.9920770758745,NaN
1585292400,6673.5,6720,6673.5,6702,230.315,6712.826730896562,NaN
1585296000,6702,6702,6670,6674.5,133.197,6706.438942413802,NaN
1585299600,6674.5,6685.5,6641,6648,149.547,6696.699118678168,NaN
