time,open,high,low,close,Volume,EMA Curta (21),EMA Longa (55)
2020-03-25T10:00:00Z,6500,6591.5,6500,6591.5,0.004,NaN,NaN
2020-03-25T11:00:00Z,6591.5,6628.5,6457.5,6511.5,438.873,NaN,NaN
2020-03-25T12:00:00Z,6511.5,6588.5,6502,6583.5,529.318,NaN,NaN
2020-03-25T13:00:00Z,6583.5,6745.5,6562,6585,449.162,NaN,NaN
2020-03-25T14:00:00Z,6585,6640,6516,6590,258.831,NaN,NaN
2020-03-25T15:00:00Z,6590,6662,6590,6615,20.693,NaN,NaN
2020-03-25T16:00:00Z,6615,6695.5,6601.5,6664.5,23.185,NaN,NaN
2020-03-25T17:00:00Z,6664.5,6677.5,6635.5,6650,16.523,NaN,NaN
2020-03-25T18:00:00Z,6650,6652.5,6592.5,6652.5,17.288,NaN,NaN
2020-03-25T19:00:00Z,6652.5,6671.5,6597.5,6622,10.834,NaN,NaN
2020-03-25T20:00:00Z,6622,6638,6573,6590,20.314,6605.045454545455,NaN
2020-03-25T21:00:00Z,6590,6602,6556,6588,9.025,6602.204545454546,NaN
2020-03-25T22:00:00Z,6588,6692.5,6588,6681,12.434,6615.337121212122,NaN
2020-03-25T23:00:00Z,6681,6698.5,6650,6698.5,3.036,6629.197601010102,NaN
2020-03-26T00:00:00Z,6698.5,6767,6698.5,6738.5,27.19,6647.414667508418,NaN
2020-03-26T01:00:00Z,6738.5,6738.5,6675,6688,80.82,6654.178889590348,NaN
2020-03-26T02:00:00Z,6688,6698,6655,6694,3.376,6660.81574132529,NaN
2020-03-26T03:00:00Z,6694,6742,6667.5,6726.5,258.723,6671.7631177710755,NaN
2020-03-26T04:00:00Z,6726.5,6751,6678.5,6692,191.123,6675.1359314758965,NaN
2020-03-26T05:00:00Z,6692,6708.5,6613.5,6625,185.905,6666.779942896581,NaN
2020-03-26T06:00:00Z,6625,6666,6585,6636,160.821,6661.649952413817,NaN
2020-03-26T07:00:00Z,6636,6636,6555,6582,206.572,6648.374960344848,NaN
2020-03-26T08:00:00Z,6582,6623.5,6566,6610.5,153.397,6642.062466954039,NaN
2020-03-26T09:00:00Z,6610.5,6641.5,6600,6616.5,155.435,6637.802055795033,NaN
2020-03-26T10:00:00Z,6616.5,6638.5,6585.5,6616,174.321,6634.168379829194,NaN
2020-03-26T11:00:00Z,6616,6665,6590,6598.5,156.592,6628.223649857662,NaN
2020-03-26T12:00:00Z,6598.5,6631,6571.5,6620.5,138.187,6626.936374881385,NaN
2020-03-26T13:00:00Z,6620.5,6675.5,6512,6626.5,218.401,6626.863645734487,NaN
2020-03-26T14:00:00Z,6626.5,6631.5,6582,6591.5,149.487,6620.9697047787395,NaN
2020-03-26T15:00:00Z,6591.5,6615.5,6562.5,6611,185.016,6619.308087315616,NaN
2020-03-26T16:00:00Z,6611,6657.5,6594,6634.5,175.766,6621.840072763013,NaN
2020-03-26T17:00:00Z,6634.5,6675,6608,6630.5,364.416,6623.283393969177,NaN
2020-03-26T18:00:00Z,6630.5,6651.5,6626,6629.5,98.013,6624.319494974315,NaN
2020-03-26T19:00:00Z,6629.5,6667,6629.5,6656,148.357,6629.599579145262,NaN
2020-03-26T20:00:00Z,6656,6733,6655,6719,203.907,6644.499649287719,NaN
2020-03-26T21:00:00Z,6719,6749,6692,6713.5,151.709,6655.999707739766,NaN
2020-03-26T22:00:00Z,6713.5,6716,6670.5,6699,154.315,6663.166423116471,NaN
2020-03-26T23:00:00Z,6699,6760,6698.5,6733.5,163.115,6674.888685930393,NaN
2020-03-27T00:00:00Z,6733.5,6838,6733.5,6808.5,218.237,6697.1572382753275,NaN
2020-03-27T01:00:00Z,6808.5,6821.5,6757.5,6799.5,177.156,6714.21436522944,NaN
2020-03-27T02:00:00Z,6799.5,6799.5,6756.5,6789.5,132.445,6726.7619710245335,NaN
2020-03-27T03:00:00Z,6789.5,6799.5,6776.5,6789.5,137.205,6737.218309187111,NaN
2020-03-27T04:00:00Z,6789.5,6821.5,6732.5,6738,220.748,6737.348590989259,NaN
2020-03-27T05:00:00Z,6738,6740,6616.5,6653,372.592,6723.290492491049,NaN
2020-03-27T06:00:00Z,6653,6693.5,6638,6673.5,205.998,6714.9920770758745,NaN
2020-03-27T07:00:00Z,6673.5,6720,6673.5,6702,230.315,6712.826730896562,NaN
2020-03-27T08:00:00Z,6702,6702,6670,6674.5,133.197,6706.438942413802,NaN
2020-03-27T09:00:00Z,6674.5,6685.5,6641,6648,149.547,6696.699118678168,NaN
2020-03-27T10:00:00Z,6648,6672,6595,6641,200.108,6687.415932231806,NaN
2020-03-27T11:00:00Z,6641,6686.5,6615,6617.5,188.518,6675.763276859839,NaN
2020-03-27T12:00:00Z,6617.5,6659,6585,6631,174.331,6668.302730716532,NaN
2020-03-27T13:00:00Z,6631,6643,6573,6591.5,210.393,6655.50227559711,NaN
2020-03-27T14:00:00Z,6591.5,6620,6582,6613,245.215,6648.418562997592,NaN
2020-03-27T15:00:00Z,6613,6651,6608.5,6621,157.803,6643.848802497993,NaN
2020-03-27T16:00:00Z,6621,6666,6591.5,6638.5,253.911,6642.957335414994,6653.472727272727
2020-03-27T17:00:00Z,6638.5,6652.5,6610,6632,164.831,6641.131112845828,6652.705844155844
2020-03-27T18:00:00Z,6632,6655,6625,6644,115.313,6641.609260704857,6652.394921150278
2020-03-27T19:00:00Z,6644,6680,6638,6655.5,177.466,6643.924383920714,6652.505816823482
2020-03-27T20:00:00Z,6655.5,6659,6634.5,6654.5,145.932,6645.6869866005945,6652.577037651215
2020-03-27T21:00:00Z,6654.5,6676,6653.5,6670,127.9,6649.739155500495,6653.199286306528
2020-03-27T22:00:00Z,6670,6671.5,6642.5,6665,105.305,6652.282629583746,6653.620740367009
2020-03-27T23:00:00Z,6665,6665,6235,6354,360.881,6602.5688579864545,6642.9199996396155
2020-03-28T00:00:00Z,6354,6354,6196,6297,305.349,6551.640714988712,6630.565713938201
2020-03-28T01:00:00Z,6297,6298.5,6252,6268,158.567,6504.367262490593,6617.616938440408
2020-03-28T02:00:00Z,6268,6277.5,6240,6249.5,139.755,6461.889385408827,6604.469904924679
2020-03-28T03:00:00Z,6249.5,6254.5,6084.5,6118,308.037,6404.5744878406895,6587.095979748798
2020-03-28T04:00:00Z,6118,6193,6090.5,6166.5,215.038,6364.895406533908,6572.074694757769
2020-03-28T05:00:00Z,6166.5,6183,6138.5,6158.5,188.323,6330.49617211159,6557.304169944991
2020-03-28T06:00:00Z,6158.5,6167,6119,6157,187.129,6301.580143426325,6543.007592446956
2020-03-28T07:00:00Z,6157,6189,6157,6177.5,181.062,6280.900119521937,6529.953749859565
2020-03-28T08:00:00Z,6177.5,6262.5,6162,6250,289.31,6275.750099601614,6519.955401650294
2020-03-28T09:00:00Z,6250,6279.5,6234,6246.5,192.987,6270.875083001345,6510.1891373056405
2020-03-28T10:00:00Z,6246.5,6272,6218,6249.5,224.983,6267.312569167788,6500.878810973296
