Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
1,Exit Short,Exit Short,2020-04-02 18:00,7044.3,158.947466,-120609.36,-12.06,-120609.36,-12.06,22668.00,2.27,120273.46,12.03
1,Entry Short,Short,2020-04-01 08:00,6289.5,158.947466,-120609.36,-12.06,-120609.36,-12.06,22668.00,2.27,120273.46,12.03
2,Exit Short,Long,2020-04-14 07:00,6881.0,122.517859,35564.86,4.04,-85044.50,4.04,75513.56,8.59,263.74,0.03
2,Entry Short,Short,2020-04-10 05:00,7175.5,122.517859,35564.86,4.04,-85044.50,4.04,75513.56,8.59,263.74,0.03
3,Exit Long,Exit Long,2020-04-30 04:00,9083.0,132.965256,292152.70,31.92,207108.19,31.93,292515.01,31.96,55521.54,6.07
3,Entry Long,Long,2020-04-14 07:00,6881.0,132.965256,292152.70,31.92,207108.19,31.93,292515.01,31.96,55521.54,6.07
4,Exit Short,Long,2020-05-04 23:00,8938.0,137.036812,-18818.33,-1.56,188289.86,-1.56,38145.32,3.16,19136.07,1.59
4,Entry Short,Short,2020-05-04 02:00,8806.0,137.036812,-18818.33,-1.56,188289.86,-1.56,38145.32,3.16,19136.07,1.59
5,Exit Long,Short,2020-05-10 00:00,9604.5,132.949297,87871.14,7.39,276161.00,7.39,148746.15,12.51,22559.02,1.90
5,Entry Long,Long,2020-05-04 23:00,8938.0,132.949297,87871.14,7.39,276161.00,7.39,148746.15,12.51,22559.02,1.90
6,Exit Short,Long,2020-05-12 19:00,8872.5,132.871178,96525.18,7.56,372686.19,7.56,192479.67,15.08,4169.68,0.33
6,Entry Short,Short,2020-05-10 00:00,9604.5,132.871178,96525.18,7.56,372686.19,7.56,192479.67,15.08,4169.68,0.33
7,Exit Long,Exit Long,2020-05-12 19:00,8836.1,154.705896,-6453.18,-0.47,366233.01,-0.47,4461.45,0.32,6043.08,0.44
7,Entry Long,Long,2020-05-12 19:00,8872.5,154.705896,-6453.18,-0.47,366233.01,-0.47,4461.45,0.32,6043.08,0.44
8,Exit Long,Short,2020-05-16 01:00,9315.0,152.922046,57808.52,4.23,424041.52,4.23,153812.14,11.26,15625.49,1.14
8,Entry Long,Long,2020-05-13 02:00,8931.5,152.922046,57808.52,4.23,424041.52,4.23,153812.14,11.26,15625.49,1.14
9,Exit Short,Long,2020-05-16 14:00,9466.5,152.876183,-24022.11,-1.69,400019.41,-1.69,14096.02,0.99,41398.03,2.91
9,Entry Short,Short,2020-05-16 01:00,9315.0,152.876183,-24022.11,-1.69,400019.41,-1.69,14096.02,0.99,41398.03,2.91
10,Exit Long,Short,2020-05-19 06:00,9535.5,147.893472,9361.57,0.67,409380.98,0.67,72195.68,5.16,30442.38,2.17
10,Entry Long,Long,2020-05-16 14:00,9466.5,147.893472,9361.57,0.67,409380.98,0.67,72195.68,5.16,30442.38,2.17
11,Exit Short,Long,2020-05-24 10:00,9263.0,147.8036,39442.94,2.80,448823.91,2.80,106365.29,7.54,53706.01,3.81
11,Entry Short,Short,2020-05-19 06:00,9535.5,147.8036,39442.94,2.80,448823.91,2.80,106365.29,7.54,53706.01,3.81
12,Exit Long,Short,2020-06-01 01:00,9449.5,156.407211,28291.91,1.95,477115.83,1.95,73389.56,5.06,97798.13,6.75
12,Entry Long,Long,2020-05-24 10:00,9263.0,156.407211,28291.91,1.95,477115.83,1.95,73389.56,5.06,97798.13,6.75
13,Exit Short,Long,2020-06-04 06:00,9644.0,156.31685,-31299.02,-2.12,445816.81,-2.12,24802.04,1.68,141519.09,9.58
13,Entry Short,Short,2020-06-01 01:00,9449.5,156.31685,-31299.02,-2.12,445816.81,-2.12,24802.04,1.68,141519.09,9.58
14,Exit Long,Short,2020-06-06 00:00,9677.0,149.920708,4078.40,0.28,449895.21,0.28,34347.85,2.37,28019.16,1.94
14,Entry Long,Long,2020-06-04 06:00,9644.0,149.920708,4078.40,0.28,449895.21,0.28,34347.85,2.37,28019.16,1.94
15,Exit Short,Long,2020-06-08 01:00,9741.0,149.829024,-10461.87,-0.72,439433.33,-0.72,43989.34,3.03,19987.66,1.38
15,Entry Short,Short,2020-06-06 00:00,9677.0,149.829024,-10461.87,-0.72,439433.33,-0.72,43989.34,3.03,19987.66,1.38
16,Exit Long,Short,2020-06-09 12:00,9672.0,147.771209,-11056.82,-0.77,428376.52,-0.77,19147.85,1.33,25774.59,1.79
16,Entry Long,Long,2020-06-08 01:00,9741.0,147.771209,-11056.82,-0.77,428376.52,-0.77,19147.85,1.33,25774.59,1.79
17,Exit Short,Exit Short,2020-06-13 20:00,9410.8,147.681635,37728.99,2.64,466105.50,2.64,83971.54,5.88,48129.68,3.37
17,Entry Short,Short,2020-06-09 12:00,9672.0,147.681635,37728.99,2.64,466105.50,2.64,83971.54,5.88,48129.68,3.37
18,Exit Long,Short,2020-06-21 23:00,9336.0,155.46707,-15100.37,-1.03,451005.14,-1.03,23968.63,1.63,39461.93,2.69
18,Entry Long,Long,2020-06-15 23:00,9427.5,155.46707,-15100.37,-1.03,451005.14,-1.03,23968.63,1.63,39461.93,2.69
19,Exit Short,Exit Short,2020-06-27 17:00,9083.9,155.420444,38322.65,2.64,489327.78,2.64,50542.60,3.48,69752.82,4.81
19,Entry Short,Short,2020-06-21 23:00,9336.0,155.420444,38322.65,2.64,489327.78,2.64,50542.60,3.48,69752.82,4.81
20,Exit Long,Short,2020-07-05 08:00,9059.0,162.826018,-14729.39,-0.99,474598.39,-0.99,23163.11,1.56,33744.59,2.27
20,Entry Long,Long,2020-06-29 03:00,9144.0,162.826018,-14729.39,-0.99,474598.39,-0.99,23163.11,1.56,33744.59,2.27
21,Exit Short,Long,2020-07-11 07:00,9258.5,162.777185,-33368.55,-2.26,441229.84,-2.26,23811.42,1.61,66774.08,4.53
21,Entry Short,Short,2020-07-05 08:00,9059.0,162.777185,-33368.55,-2.26,441229.84,-2.26,23811.42,1.61,66774.08,4.53
22,Exit Long,Short,2020-07-12 16:00,9215.5,155.66772,-7556.45,-0.52,433673.39,-0.52,11476.21,0.80,12652.29,0.88
22,Entry Long,Long,2020-07-11 07:00,9258.5,155.66772,-7556.45,-0.52,433673.39,-0.52,11476.21,0.80,12652.29,0.88
